publish_date,headline_text
20200610,cairns murder charge 76 year old woman killed
20201014,police look for husband after woman killed in wentworthville
20201130,melbourne woman killed in narre warren home attack
20200302,man arrested in caribbean over murder of sydney woman kim mcrae
20200417,woman found dead in adelaide murdered police say
20200430,man accused of murdering woman found dead at narangba home
20200601,ballarat woman murdered by boyfriend told friends of her fear
20200609,man arrested after woman allegedly murdered in western sydney
20200610,cairns murder charge 76 year old woman killed
20201119,celeste manno murder charge over melbourne womans death
20201124,21 year old charged with the murder of woman in coogee sydney
20201124,man extradited from the caribbean over coogee womans murder
20201127,sydney businesswoman melissa caddick disappearance murder case
20201130,husband charged with murder over womans death in fairfield
20201202,man charged with murder over stabbing death of woman in darwin
20201208,canberra woman charged double murder organised over dark web
20201228,german man charged with murder death woman launceston
20200610,cairns murder charge 76 year old woman killed
20201014,police look for husband after woman killed in wentworthville
20201130,melbourne woman killed in narre warren home attack
20200620,man arrested woman allegedly raped car boot chased dry creek
20200728,nt supreme court hears peter bravos allegedly raped woman
20200911,woman allegedly gang raped after meeting four men at mooseheads
20200521,woman fatally stabbed in domestic violence attack quakers hill
20200310,hannah clarke domestic violence law cant keep women safe
20200406,solomon islands women girls challenge sexual violence inequality
20200524,women domestic violence temporary visas urgent calls protection
20200720,domestic violence survivor joan anderson women get it done
20200722,violence against women and girls asia pacific covid 19 report
20201009,domestic violence against women football finals afl nrl
20201126,domestic violence and women on farms
20201201,migrant women face struggle to end domestic violence nightmare
20201221,coercive control domestic violence laws free uk women
20200223,i survived my abuser hannah clarke murder many women do not
